Instance Name,Best UB,Best LB
network-30-10-L-05,131428.5,131428.5
network-30-10-L-06,166898.4,166898.4
network-30-10-L-07,236807.3,217101.7
network-30-10-L-08,149717.0,149717.0
network-30-10-L-09,201205.5,189067.5
network-30-10-L-10,156979.2,156979.2
network-30-10-H-01,131764.1,131764.1
network-30-10-H-02,160715.9,142131.7
network-30-10-H-03,46075.8,46075.8
network-30-10-H-04,90611.6,90611.6
network-30-10-H-05,122076.5,122076.5
network-30-10-H-06,140319.4,140319.4
network-30-10-H-07,143497.9,134670.0
network-30-10-H-08,137472.7,137472.7
network-30-10-H-09,127688.1,114751.1
network-30-10-H-10,64036.8,64036.8
network-30-20-L-01,190178.1,190178.1
network-30-20-L-02,144750.3,144750.3
network-30-20-L-03,159596.3,159596.3
network-30-20-L-04,161317.9,161317.9
network-30-20-L-05,161307.5,161307.5
network-30-20-L-06,176477.5,171408.2
network-30-20-L-07,125070.7,125070.7
network-30-20-L-08,180425.7,180425.7
network-30-20-L-09,156262.6,146348.5
network-30-20-L-10,132483.1,132483.1
network-30-20-H-01,93967.9,93967.9
network-30-20-H-02,178939.9,172888.2
network-30-20-H-03,162876.9,151324.5
network-30-20-H-04,104897.9,104897.9
network-30-20-H-05,135097.4,125213.8
network-30-20-H-06,195270.4,168398.0
network-30-20-H-07,163819.9,153107.9
network-30-20-H-08,110636.3,110636.3
network-30-20-H-09,140175.0,129672.9
network-30-20-H-10,143291.7,124950.5
network-30-30-L-01,175950.0,170467.1
network-30-30-L-02,135799.8,135799.8
network-30-30-L-03,107955.1,107955.1
network-30-30-L-04,137744.2,137744.2
network-30-30-L-05,199848.7,190877.7
network-30-30-L-06,168134.3,168134.3
network-30-30-L-07,122800.1,122800.1
network-30-30-L-08,156787.0,156787.0
network-30-30-L-09,173023.0,169591.1
network-30-30-L-10,168919.3,168919.3
network-30-30-H-01,173463.0,150852.4
network-30-30-H-02,172474.8,152486.3
network-30-30-H-03,226158.4,203037.0
network-30-30-H-04,148706.3,142412.4
network-30-30-H-05,139159.9,120740.2
network-30-30-H-06,145092.1,122278.2
network-30-30-H-07,159800.5,146142.4
network-30-30-H-08,136096.8,125884.8
network-30-30-H-09,156180.0,126345.3
network-30-30-H-10,175258.4,142499.2
network-50-10-L-01,246146.6,205923.7
network-50-10-L-02,240319.4,222659.0
network-50-10-L-03,239401.0,198745.2
network-50-10-L-04,182756.1,168108.5
network-50-10-L-05,302976.9,257495.9
network-50-10-L-06,257274.4,209893.1
network-50-10-L-07,206249.0,167400.0
network-50-10-L-08,257299.3,206832.1
network-50-10-L-09,243414.8,212557.6
network-50-10-L-10,305534.2,241286.6
network-50-10-H-01,204070.8,180227.9
network-50-10-H-02,226912.0,177051.9
network-50-10-H-03,160189.0,125218.0
network-50-10-H-04,240427.5,199412.0
network-50-10-H-05,146835.4,121731.1
network-50-10-H-06,228126.1,170249.6
network-50-10-H-07,252604.3,176919.3
network-50-10-H-08,262508.3,217366.7
network-50-10-H-09,230652.4,183550.0
network-50-10-H-10,272941.0,201215.3
network-50-20-L-01,331236.8,278532.9
network-50-20-L-02,350796.1,273060.2
network-50-20-L-03,291374.4,241070.7
network-50-20-L-04,182141.6,148999.7
network-50-20-L-05,241594.8,195399.4
network-50-20-L-06,269282.6,217242.2
network-50-20-L-07,299257.6,243414.3
network-50-20-L-08,223252.1,191514.0
network-50-20-L-09,227879.8,182505.4
network-50-20-L-10,269127.7,239488.3
network-50-20-H-01,332746.2,216234.6
network-50-20-H-02,240208.0,182915.3
network-50-20-H-03,199590.6,157511.6
network-50-20-H-04,179340.3,133853.2
network-50-20-H-05,264151.1,186074.8
network-50-20-H-06,188153.1,145507.2
network-50-20-H-07,269533.5,195788.3
network-50-20-H-08,277961.7,187901.0
network-50-20-H-09,236267.9,172261.5
network-50-20-H-10,241672.4,171631.0
network-50-30-L-01,286410.0,211866.6
network-50-30-L-02,275090.5,217082.1
network-50-30-L-03,203129.1,160932.9
network-50-30-L-04,209797.8,170294.0
network-50-30-L-05,265604.0,190260.7
network-50-30-L-06,352171.3,270900.2
network-50-30-L-07,347203.0,265853.8
network-50-30-L-08,278816.6,205238.5
network-50-30-L-09,310000.2,229161.1
network-50-30-L-10,314494.7,247059.7
network-50-30-H-01,282863.4,186359.6
network-50-30-H-02,267277.8,148672.7
network-50-30-H-03,206896.1,154096.7
network-50-30-H-04,299333.2,188376.5
network-50-30-H-05,83792.2,83792.2
network-50-30-H-06,236555.8,155398.0
network-50-30-H-07,345759.1,229880.4
network-50-30-H-08,312246.3,187829.2
network-50-30-H-09,339674.5,230516.5
network-50-30-H-10,335092.8,211707.5
